sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
21419,Labertouche,2,Victoria,2GMEL,Greater Melbourne
21452,Lalor,2,Victoria,2GMEL,Greater Melbourne
21456,Lancefield,2,Victoria,2GMEL,Greater Melbourne
21459,Lang Lang,2,Victoria,2GMEL,Greater Melbourne
21460,Lang Lang East,2,Victoria,2GMEL,Greater Melbourne
21467,Langwarrin,2,Victoria,2GMEL,Greater Melbourne
21468,Langwarrin South,2,Victoria,2GMEL,Greater Melbourne
21473,Launching Place,2,Victoria,2GMEL,Greater Melbourne
21476,Laverton (Vic.),2,Victoria,2GMEL,Greater Melbourne
21477,Laverton North,2,Victoria,2GMEL,Greater Melbourne
21494,Lerderderg,2,Victoria,2GMEL,Greater Melbourne
21504,Lilydale (Vic.),2,Victoria,2GMEL,Greater Melbourne
21520,Little River (Vic.),2,Victoria,2GMEL,Greater Melbourne
21533,Long Forest,2,Victoria,2GMEL,Greater Melbourne
21538,Longwarry,2,Victoria,2GMEL,Greater Melbourne
21539,Longwarry North,2,Victoria,2GMEL,Greater Melbourne
21547,Lower Plenty,2,Victoria,2GMEL,Greater Melbourne
21554,Lynbrook,2,Victoria,2GMEL,Greater Melbourne
21555,Lyndhurst (Vic.),2,Victoria,2GMEL,Greater Melbourne
21558,Lysterfield,2,Victoria,2GMEL,Greater Melbourne
21559,Lysterfield South,2,Victoria,2GMEL,Greater Melbourne
21561,Macclesfield (Vic.),2,Victoria,2GMEL,Greater Melbourne
21562,Macedon,2,Victoria,2GMEL,Greater Melbourne
21564,Macleod (Vic.),2,Victoria,2GMEL,Greater Melbourne
21569,Maddingley,2,Victoria,2GMEL,Greater Melbourne
21575,Maidstone,2,Victoria,2GMEL,Greater Melbourne
21578,Main Ridge,2,Victoria,2GMEL,Greater Melbourne
21586,Malvern (Vic.),2,Victoria,2GMEL,Greater Melbourne
21587,Malvern East,2,Victoria,2GMEL,Greater Melbourne
21588,Mambourin,2,Victoria,2GMEL,Greater Melbourne
21597,Manor Lakes,2,Victoria,2GMEL,Greater Melbourne
21604,Maribyrnong,2,Victoria,2GMEL,Greater Melbourne
21619,Maryknoll,2,Victoria,2GMEL,Greater Melbourne
21620,Marysville,2,Victoria,2GMEL,Greater Melbourne
21625,McCrae,2,Victoria,2GMEL,Greater Melbourne
21629,McKinnon,2,Victoria,2GMEL,Greater Melbourne
21631,McMahons Creek,2,Victoria,2GMEL,Greater Melbourne
21635,Meadow Heights,2,Victoria,2GMEL,Greater Melbourne
21640,Melbourne,2,Victoria,2GMEL,Greater Melbourne
21641,Melbourne Airport,2,Victoria,2GMEL,Greater Melbourne
21642,Melton (Vic.),2,Victoria,2GMEL,Greater Melbourne
21643,Melton South,2,Victoria,2GMEL,Greater Melbourne
21644,Melton West,2,Victoria,2GMEL,Greater Melbourne
21648,Mentone,2,Victoria,2GMEL,Greater Melbourne
21649,Menzies Creek,2,Victoria,2GMEL,Greater Melbourne
21659,Mernda,2,Victoria,2GMEL,Greater Melbourne
21662,Merricks,2,Victoria,2GMEL,Greater Melbourne
